"","SigID","log","rFq_morph","Community","GoalID","Mau_duration","MorphID","rFq_action","Gesture_actionID","Pau_duration"
"84","ID_7",0.0344014267173323,0.0449152542372881,"Waibira","Goal_1",1.035,"Morph_21",0.213559322033898,"G_action_1",1.035
"85","ID_7",0.725130226412996,0.088135593220339,"Waibira","Goal_1",1.508,"Morph_1",0.213559322033898,"G_action_1",2.065
"86","ID_7",0.210260925483196,0.011864406779661,"Waibira","Goal_9",0.845,"Morph_15",0.0347457627118644,"G_action_10",1.234
"87","ID_7",0.340037302785709,0.00593220338983051,"Waibira","Goal_9",1.346,"Morph_25",0.101694915254237,"G_action_4",1.405
"88","ID_7",0.280657457514817,0.0110169491525424,"Waibira","Goal_11",0.519,"Morph_34",0.0347457627118644,"G_action_10",1.324
"89","ID_7",1.64904316702646,0.0322033898305085,"Waibira","Goal_1",2.222,"Morph_3",0.141525423728814,"G_action_2",5.202
"90","ID_7",0.358373500574314,0.088135593220339,"Waibira","Goal_1",1.431,"Morph_1",0.213559322033898,"G_action_1",1.431
"91","ID_7",0.750944279286162,0.0449152542372881,"Waibira","Goal_1",1.64,"Morph_21",0.213559322033898,"G_action_1",2.119
"92","ID_7",0.105260510657493,0.0449152542372881,"Waibira","Goal_1",1.111,"Morph_21",0.213559322033898,"G_action_1",1.111
"93","ID_7",1.3206886040219,0.0271186440677966,"Waibira","Goal_12",1.663,"Morph_35",0.141525423728814,"G_action_2",3.746
"94","ID_7",1.84118435255558,0.0432203389830508,"Waibira","Goal_13",1.434,"Morph_5",0.035593220338983,"G_action_3",6.304
"95","ID_7",3.03495298670727,0.0432203389830508,"Waibira","Goal_13",1.745,"Morph_5",0.035593220338983,"G_action_3",20.8
"96","ID_7",0.538246219341983,0.0432203389830508,"Waibira","Goal_13",1.713,"Morph_5",0.035593220338983,"G_action_3",1.713
"97","ID_7",0.805135682507993,0.085593220338983,"Waibira","Goal_6",1.516,"Morph_6",0.101694915254237,"G_action_4",2.237
"98","ID_8",0.76964515153267,0.0203389830508475,"Waibira","Goal_12",1.559,"Morph_4",0.213559322033898,"G_action_1",2.159
"99","ID_8",0.633397176154171,0.026271186440678,"Waibira","Goal_7",0.662,"Morph_11",0.0330508474576271,"G_action_7",1.884
"100","ID_8",1.0170406349743,0.0322033898305085,"Waibira","Goal_12",1.398,"Morph_3",0.141525423728814,"G_action_2",2.765
"101","ID_8",1.44338332810402,0.085593220338983,"Waibira","Goal_7",1.105,"Morph_6",0.101694915254237,"G_action_4",4.235
"102","ID_9",0.225540675913931,0.00932203389830509,"Waibira","Goal_3",0.667,"Morph_33",0.0559322033898305,"G_action_5",1.253
"103","ID_9",0.731887008875876,0.088135593220339,"Waibira","Goal_12",1.319,"Morph_1",0.213559322033898,"G_action_1",2.079
"104","ID_9",1.26976054486394,0.0372881355932203,"Waibira","Goal_12",1.44,"Morph_23",0.141525423728814,"G_action_2",3.56
"105","ID_9",0.751416088683921,0.0449152542372881,"Waibira","Goal_12",1.2,"Morph_21",0.213559322033898,"G_action_1",2.12
"106","ID_9",0.268499253035007,0.088135593220339,"Waibira","Goal_1",1.308,"Morph_1",0.213559322033898,"G_action_1",1.308
"107","ID_10",-0.0110609473594249,0.00677966101694915,"Waibira","Goal_8",0.753,"Morph_12",0.0330508474576271,"G_action_7",0.989
"108","ID_10",0.955511445027436,0.0203389830508475,"Waibira","Goal_16",1.56,"Morph_4",0.213559322033898,"G_action_1",2.6
"109","ID_10",-0.350976922824095,0.00423728813559322,"Waibira","Goal_16",0.704,"Morph_36",0.00254237288135593,"G_action_22",0.704
"110","ID_10",-0.783071888087932,0.00677966101694915,"Waibira","Goal_16",0.384,"Morph_12",0.0330508474576271,"G_action_7",0.457
"111","ID_10",2.05104206715814,0.00254237288135593,"Waibira","Goal_6",1.323,"Morph_37",0.0101694915254237,"G_action_14",7.776
"112","ID_10",1.30291275218084,0.00423728813559322,"Waibira","Goal_6",1.369,"Morph_38",0.0559322033898305,"G_action_5",3.68
"113","ID_10",0.904622927006473,0.088135593220339,"Waibira","Goal_16",1.08,"Morph_1",0.213559322033898,"G_action_1",2.471
"114","ID_10",0.902597404742153,0.0449152542372881,"Waibira","Goal_9",1.591,"Morph_21",0.213559322033898,"G_action_1",2.466
"115","ID_10",-0.0618754037180875,0.00677966101694915,"Waibira","Goal_16",0.274,"Morph_39",0.0559322033898305,"G_action_5",0.94
"116","ID_10",0.444044590075639,0.085593220338983,"Waibira","Goal_3",0.904,"Morph_6",0.101694915254237,"G_action_4",1.559
"117","ID_10",1.27088350960856,0.0338983050847458,"Waibira","Goal_1",1.52,"Morph_24",0.141525423728814,"G_action_2",3.564
"118","ID_10",-0.385662480811985,0.00508474576271186,"Waibira","Goal_10",0.68,"Morph_40",0.00593220338983051,"G_action_23",0.68
"119","ID_10",-0.341082849178896,0.00508474576271186,"Waibira","Goal_10",0.633,"Morph_40",0.00593220338983051,"G_action_23",0.711
"120","ID_10",-1.43969513784701,0.0474576271186441,"Waibira","Goal_10",0.237,NA,0.0101694915254237,"G_action_15",0.237
"121","ID_10",0.113328685307003,0.0245762711864407,"Waibira","Goal_10",1.12,"Morph_41",0.0305084745762712,"G_action_24",1.12
"122","ID_10",0.0188217542405877,0.0194915254237288,"Waibira","Goal_15",1.019,"Morph_14",0.0203389830508475,"G_action_9",1.019
"123","ID_10",1.22348127071398,0.0338983050847458,"Waibira","Goal_1",3.078,"Morph_24",0.141525423728814,"G_action_2",3.399
"124","ID_11",1.23895377322118,0.085593220338983,"Waibira","Goal_3",0.785,"Morph_6",0.101694915254237,"G_action_4",3.452
"125","ID_11",-0.127833371509885,0.0194915254237288,"Waibira","Goal_15",0.88,"Morph_14",0.0203389830508475,"G_action_9",0.88
"126","ID_11",0.788002711572624,0.0194915254237288,"Waibira","Goal_10",1.32,"Morph_14",0.0203389830508475,"G_action_9",2.199
"127","ID_12",-0.22314355131421,0.0161016949152542,"Waibira","Goal_13",0.8,"Morph_30",0.0194915254237288,"G_action_19",0.8
