"","Mau_duration","Community","log","rFq_morph","rFq_action","SigID","Gesture_actionID","MorphID","GoalID"
"67",0.677,"Waibira",-0.390084006069862,0.00809061488673139,0.00809061488673139,"ID_4","G_action_18","Morph_31","Goal_10"
"68",3.218,"Waibira",1.16876004857019,0.0169902912621359,0.0202265372168285,"ID_5","G_action_19","Morph_32","Goal_13"
"69",1.52,"Waibira",0.418710334858185,0.0161812297734628,0.0129449838187702,"ID_5","G_action_20","Morph_30","Goal_13"
"70",0.715,"Waibira",-0.335472736288129,0.000809061488673139,0.0331715210355987,"ID_5","G_action_11","Morph_33","Goal_14"
"71",0.464,"Waibira",-0.767870726755882,0.0161812297734628,0.0169902912621359,"ID_5","G_action_13","Morph_18","Goal_10"
"72",0.343,"Waibira",-1.0700248318162,0.0161812297734628,0.0169902912621359,"ID_5","G_action_13","Morph_18","Goal_10"
"73",0.865,"Waibira",-0.145025772050258,0.0161812297734628,0.0169902912621359,"ID_5","G_action_13","Morph_18","Goal_10"
"74",1.6,"Waibira",0.470003629245736,0.0339805825242718,0.147249190938511,"ID_5","G_action_2","Morph_26","Goal_10"
"75",0.52,"Waibira",-0.653926467406664,0.0857605177993527,0.101132686084142,"ID_5","G_action_4","Morph_6","Goal_3"
"76",0.494,"Waibira",-0.705219761794215,0.00242718446601942,0.00242718446601942,"ID_5","G_action_21","Morph_34","Goal_13"
"77",0.302,"Waibira",-1.19732826160727,0.0040453074433657,0.0040453074433657,"ID_5","G_action_22","Morph_35","Goal_13"
"78",0.361,"Waibira",-1.01887732064926,0.0323624595469256,0.147249190938511,"ID_6","G_action_2","Morph_3","Goal_1"
"79",1.4,"Waibira",0.336472236621213,0.0194174757281553,0.210355987055016,"ID_6","G_action_1","Morph_4","Goal_1"
"80",2.129,"Waibira",0.755652385911342,0.0339805825242718,0.147249190938511,"ID_6","G_action_2","Morph_26","Goal_12"
"81",0.337,"Waibira",-1.08767234862978,0.00889967637540453,0.0533980582524272,"ID_6","G_action_5","Morph_36","Goal_4"
"82",3.44,"Waibira",1.23547147138531,0.0339805825242718,0.147249190938511,"ID_6","G_action_2","Morph_26","Goal_12"
"83",1.68,"Waibira",0.518793793415168,0.0428802588996764,0.210355987055016,"ID_6","G_action_1","Morph_2","Goal_1"
"84",0.8,"Waibira",-0.22314355131421,0.0161812297734628,0.0169902912621359,"ID_6","G_action_13","Morph_18","Goal_15"
"85",0.573,"Waibira",-0.556869562267398,0.0040453074433657,0.0331715210355987,"ID_6","G_action_11","Morph_37","Goal_11"
"86",2.135,"Waibira",0.758466646680588,0.0857605177993527,0.210355987055016,"ID_6","G_action_1","Morph_1","Goal_12"
"87",1.001,"Waibira",0.000999500333083423,0.040453074433657,0.147249190938511,"ID_6","G_action_2","Morph_25","Goal_12"
"88",1.747,"Waibira",0.55790003115192,0.0194174757281553,0.210355987055016,"ID_7","G_action_1","Morph_4","Goal_1"
"89",1.035,"Waibira",0.0344014267173323,0.0444983818770227,0.210355987055016,"ID_7","G_action_1","Morph_23","Goal_1"
"90",1.508,"Waibira",0.410784269585764,0.0857605177993527,0.210355987055016,"ID_7","G_action_1","Morph_1","Goal_1"
"91",0.845,"Waibira",-0.168418651624963,0.0113268608414239,0.0331715210355987,"ID_7","G_action_11","Morph_16","Goal_9"
"92",1.346,"Waibira",0.297137231222536,0.00566343042071197,0.101132686084142,"ID_7","G_action_4","Morph_27","Goal_9"
"93",0.519,"Waibira",-0.655851395816248,0.0105177993527508,0.0331715210355987,"ID_7","G_action_11","Morph_21","Goal_11"
"94",2.222,"Waibira",0.798407691217438,0.0323624595469256,0.147249190938511,"ID_7","G_action_2","Morph_3","Goal_1"
"95",1.431,"Waibira",0.358373500574314,0.0857605177993527,0.210355987055016,"ID_7","G_action_1","Morph_1","Goal_1"
"96",1.64,"Waibira",0.494696241836107,0.0444983818770227,0.210355987055016,"ID_7","G_action_1","Morph_23","Goal_1"
"97",1.111,"Waibira",0.105260510657493,0.0444983818770227,0.210355987055016,"ID_7","G_action_1","Morph_23","Goal_1"
"98",1.663,"Waibira",0.508623200210791,0.0275080906148867,0.147249190938511,"ID_7","G_action_2","Morph_38","Goal_12"
"99",1.434,"Waibira",0.360467742177429,0.0469255663430421,0.0396440129449838,"ID_7","G_action_3","Morph_5","Goal_13"
"100",1.745,"Waibira",0.556754555654391,0.0469255663430421,0.0396440129449838,"ID_7","G_action_3","Morph_5","Goal_13"
"101",1.713,"Waibira",0.538246219341983,0.0469255663430421,0.0396440129449838,"ID_7","G_action_3","Morph_5","Goal_13"
"102",1.516,"Waibira",0.41607528722018,0.0857605177993527,0.101132686084142,"ID_7","G_action_4","Morph_6","Goal_7"
"103",1.559,"Waibira",0.444044590075639,0.0194174757281553,0.210355987055016,"ID_8","G_action_1","Morph_4","Goal_12"
"104",1.039,"Waibira",0.0382587121170903,0.0857605177993527,0.210355987055016,"ID_8","G_action_1","Morph_1","Goal_1"
"105",0.662,"Waibira",-0.412489723045129,0.0250809061488673,0.0307443365695793,"ID_8","G_action_7","Morph_11","Goal_6"
"106",1.398,"Waibira",0.335042643811618,0.0323624595469256,0.147249190938511,"ID_8","G_action_2","Morph_3","Goal_12"
"107",1.105,"Waibira",0.0998453349697161,0.0857605177993527,0.101132686084142,"ID_8","G_action_4","Morph_6","Goal_6"
