,ClipName,Record.,Signaller,Recipient,SequenceID,SequenceSize,Gesture,P,Duration,Category,logduration
123,15.118,637,Duane,Zimba,97,1,Object shake,0.473214286,3,Manual,1.098612289
124,15.122,639,Duane,Zimba,98,1,Object shake,0.473214286,4.92,Manual,1.593308531
125,15.128,640,Duane,Zimba,99,1,Object shake,0.473214286,4.72,Manual,1.5518088
126,15.128,641,Duane,Zimba,100,2,Object shake,0.473214286,3.88,Manual,1.355835154
127,15.128,642,Duane,Zimba,100,2,Object shake,0.473214286,10.36,Manual,2.337952237
128,15.132,643,Duane,Zimba,101,1,Object shake,0.473214286,0.96,Manual,-0.040821995
129,15.132,644,Duane,Zimba,102,2,Object shake,0.473214286,3.84,Manual,1.345472367
130,15.132,645,Duane,Zimba,102,2,Object shake,0.473214286,3.32,Manual,1.199964783
131,15.132,648,Duane,Zimba,103,3,Jump,0.023214286,0.28,Body,-1.272965676
132,15.132,646,Duane,Zimba,103,3,Object shake,0.473214286,2.44,Manual,0.891998039
133,15.132,647,Duane,Zimba,103,3,Object shake,0.473214286,3.4,Manual,1.223775432
134,15.132,649,Duane,Zimba,104,1,Object shake,0.473214286,3,Manual,1.098612289
135,15.132,650,Duane,Zimba,105,1,Object shake,0.473214286,2.68,Manual,0.985816795
136,15.133,655,Duane,Zimba,108,1,Object shake,0.473214286,1.8,Manual,0.587786665
137,15.133,656,Duane,Zimba,109,1,Object shake,0.473214286,4.16,Manual,1.425515074
138,15.135,657,Duane,Zimba,110,1,Object shake,0.473214286,8.76,Manual,2.170195905
139,15.139,659,Duane,Zimba,111,1,Object shake,0.473214286,8.32,Manual,2.118662255
140,15.139,660,Duane,Zimba,112,1,Object shake,0.473214286,1.88,Manual,0.631271777
141,15.139,661,Duane,Zimba,113,1,Object shake,0.473214286,1.56,Manual,0.444685821
142,15.143,666,Duane,Zimba,116,3,Hit object/ground with object,0.023214286,5.52,Manual,1.70837786
143,15.143,668,Duane,Zimba,116,3,Hit object/ground with object,0.023214286,1.72,Manual,0.542324291
144,15.143,667,Duane,Zimba,116,3,Object shake,0.473214286,4.2,Manual,1.435084525
145,15.143,669,Duane,Zimba,117,1,Hit object/ground with object,0.023214286,2,Manual,0.693147181
146,15.143,670,Duane,Zimba,118,1,Hit object/ground with object,0.023214286,1.52,Manual,0.418710335
147,15.145,672,Duane,Zimba,119,3,Hit object/ground,0.082142857,1.48,Manual,0.392042088
148,15.145,673,Duane,Zimba,119,3,Object shake,0.473214286,1.52,Manual,0.418710335
149,15.145,676,Duane,Zimba,120,3,Jump,0.023214286,0.56,Body,-0.579818495
150,15.145,674,Duane,Zimba,120,3,Object shake,0.473214286,4.72,Manual,1.5518088
151,15.145,675,Duane,Zimba,120,3,Object shake,0.473214286,5.4,Manual,1.686398954
152,15.145,677,Duane,Zimba,121,2,Object shake,0.473214286,0.64,Manual,-0.446287103
153,15.145,678,Duane,Zimba,121,2,Object shake,0.473214286,6.92,Manual,1.93441577
154,15.145,679,Duane,Zimba,122,2,Object shake,0.473214286,1.4,Manual,0.336472237
155,15.145,680,Duane,Zimba,122,2,Shake arm,0.003571429,1.04,Manual,0.039220713
156,15.148,682,Duane,Zimba,123,3,Hit object/ground with object,0.023214286,0.6,Manual,-0.510825624
157,15.148,683,Duane,Zimba,123,3,Object shake,0.473214286,1.8,Manual,0.587786665
158,15.148,684,Duane,Zimba,123,3,Stomp 2-feet object/ground,0.005357143,1.52,Manual,0.418710335
159,15.148,685,Duane,Zimba,124,1,Hit object/ground with object,0.023214286,2.2,Manual,0.78845736
160,15.148,686,Duane,Zimba,125,1,Hit object/ground with object,0.023214286,0.44,Manual,-0.820980552
161,15.148,687,Duane,Zimba,126,6,Hit object/ground,0.082142857,1.04,Manual,0.039220713
162,15.148,688,Duane,Zimba,126,6,Hit object/ground,0.082142857,0.88,Manual,-0.127833372
163,15.148,689,Duane,Zimba,126,6,Object shake,0.473214286,3.04,Manual,1.111857515
164,15.148,690,Duane,Zimba,126,6,Object shake,0.473214286,1.16,Manual,0.148420005
165,15.148,692,Duane,Zimba,126,6,Object shake,0.473214286,2.72,Manual,1.00063188
166,15.148,691,Duane,Zimba,126,6,Stomp object/ground,0.042857143,0.28,Manual,-1.272965676
167,15.148,693,Duane,Zimba,127,1,Object shake,0.473214286,2.04,Manual,0.712949808
168,15.15,696,Duane,Zimba,128,3,Object shake,0.473214286,2.12,Manual,0.751416089
169,15.15,695,Duane,Zimba,128,3,Swing,0.039285714,0.48,Manual,-0.733969175
170,15.15,699,Duane,Zimba,129,2,Object shake,0.473214286,1.24,Manual,0.21511138
171,15.15,698,Duane,Zimba,129,2,Swing,0.039285714,1.16,Manual,0.148420005
172,15.151,700,Duane,Zimba,130,2,Object move,0.082142857,3.32,Manual,1.199964783
173,15.151,701,Duane,Zimba,130,2,Object shake,0.473214286,2.32,Manual,0.841567186
174,15.151,703,Duane,Zimba,131,2,Hit object/ground,0.082142857,0.88,Manual,-0.127833372
175,15.151,702,Duane,Zimba,131,2,Swing: with object,0.007142857,0.92,Manual,-0.083381609
176,15.151,705,Duane,Zimba,132,2,Object move,0.082142857,1.4,Manual,0.336472237
177,15.151,704,Duane,Zimba,132,2,Object shake,0.473214286,1.2,Manual,0.182321557
178,15.163,709,Duane,Zimba,136,1,Object shake,0.473214286,2.88,Manual,1.057790294
179,15.163,710,Duane,Zimba,137,1,Object shake,0.473214286,2.12,Manual,0.751416089
180,15.164,711,Duane,Zimba,138,2,Object shake,0.473214286,2.36,Manual,0.858661619
181,15.164,712,Duane,Zimba,138,2,Object shake,0.473214286,4.84,Manual,1.576914721
182,15.164,713,Duane,Zimba,139,1,Object shake,0.473214286,2.2,Manual,0.78845736
183,15.173,715,Duane,Zimba,140,2,Hit object/ground with object,0.023214286,0.8,Manual,-0.223143551
184,15.173,716,Duane,Zimba,140,2,Object shake,0.473214286,4.96,Manual,1.601405741
185,15.173,717,Duane,Zimba,141,1,Object shake,0.473214286,5.04,Manual,1.617406082
186,15.173,718,Duane,Zimba,142,1,Hit object/ground with object,0.023214286,10.28,Manual,2.33020026
187,15.173,720,Duane,Zimba,143,2,Hit object/ground with object,0.023214286,6.36,Manual,1.850028377
188,15.173,719,Duane,Zimba,143,2,Object shake,0.473214286,1.96,Manual,0.672944473
189,15.173,721,Duane,Zimba,144,1,Object shake,0.473214286,3.48,Manual,1.247032294
