ClipName,Record#,Signaller,SigAge,AgeClass,SigRankElo,Recipient,RecAge,RecAgeClass,Parous,Conception,SexRatio,SequenceID,SequenceSize,SequenceYN,Gesture,p,Context,Duration,Category,TypeN
11.165,1122,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,73,2,Y,Stomp object/ground,0.042857143,Consortship,0.68,Manual,1
11.169,1127,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,74,5,Y,Hit object/ground,0.082142857,Consortship,0.28,Manual,1
11.169,1128,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,74,5,Y,Hit object/ground,0.082142857,Consortship,0.48,Manual,1
11.169,1126,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,74,5,Y,Jump,0.023214286,Consortship,0.6,Body,2
11.169,1126,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,74,5,Y,Jump,0.023214286,Consortship,0.68,Body,2
11.191,1131,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,75,5,Y,Jump,0.023214286,Consortship,0.48,Body,2
11.191,1133,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,75,5,Y,Jump,0.023214286,Consortship,0.68,Body,2
11.191,1132,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,75,5,Y,Stomp object/ground,0.042857143,Consortship,0.48,Manual,1
11.191,1130,Duane,25+,A,1120,Lola,20,A,No,Unknown,1.222222222,75,5,Y,Swing,0.039285714,Consortship,1.04,Manual,1
15.102,606,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,77,1,N,Object shake,0.473214286,Consortship,4.2,Manual,1
15.102,609,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,79,2,Y,Object shake,0.473214286,Consortship,1.12,Manual,1
15.102,610,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,79,2,Y,Object shake,0.473214286,Consortship,3.12,Manual,1
15.102,611,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,80,1,N,Object shake,0.473214286,Consortship,1.6,Manual,1
15.103,613,Duane,25+,A,1120,Zimba,25+,A,Yes,Unknown,1.222222222,81,2,Y,Object shake,0.473214286,Consortship,2.48,Manual,1
