"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"654","101036a","Action_11","Morph_23","JL","Affiliation","Embrace","Embrace.2","Sonso",-0.916290731874155,0.00199822380106572,0.005550621669627
"655","100139","Action_63","Morph_132","JL","Sociosexualattention","Touch","Touch.1","Sonso",0,0.0104351687388988,0.0341918294849023
"656","102241a","Action_45","Morph_102","JL","Staysame","Reach","Reach.3","Sonso",-0.083381608939051,0.0022202486678508,0.0801509769094138
"657","101035","Action_39","Morph_82","JL","Giveme","Presentgenitalsbackwards","PresentGenitals.1","Sonso",1.30833281965018,0.0295293072824156,0.033303730017762
"658","100342b","Action_39","Morph_82","JL","Affiliation","Presentgenitalsbackwards","PresentGenitals.1","Sonso",-0.127833371509885,0.0295293072824156,0.033303730017762
"659","102241a","Action_45","Morph_102","JL","Staysame","Reach","Reach.3","Sonso",-0.083381608939051,0.0022202486678508,0.0801509769094138
"660","101189","Action_39","Morph_82","JL","Giveme","Presentgenitalsbackwards","PresentGenitals.1","Sonso",-0.127833371509885,0.0295293072824156,0.033303730017762
"661","100343","Action_63","Morph_140","JL","Affiliation","Touch","Touch.9","Sonso",-0.22314355131421,0.00399644760213144,0.0341918294849023
"662","100139","Action_39","Morph_82","JL","Sociosexualattention","Presentgenitalsbackwards","PresentGenitals.1","Sonso",0.672944473242426,0.0295293072824156,0.033303730017762
"663","100168","Action_45","Morph_100","JL","Sociosexualattention","Reach","Reach.1","Sonso",-0.510825623765991,0.0408525754884547,0.0801509769094138
"664","100782b","Action_39","Morph_82","JL","Sociosexualattention","Presentgenitalsbackwards","PresentGenitals.1","Sonso",-0.44628710262842,0.0295293072824156,0.033303730017762
"665","101556","Action_39","Morph_82","JL","Sexualattention","Presentgenitalsbackwards","PresentGenitals.1","Sonso",0.444685821261446,0.0295293072824156,0.033303730017762
"666","100389","Action_39","Morph_83","JN","Sociosexualattention","Presentgenitalsbackwards","PresentGenitals.2","Sonso",0.27763173659828,0.00577264653641208,0.033303730017762
"667","100087","Action_42","Morph_94","JN","Climbonme","Push","Push.7","Sonso",0.0769610411361284,0.00288632326820604,0.0466252220248668
"668","100085","Action_38","Morph_81","JN","Climbonme","Present","Present.7","Sonso",-0.385662480811985,0.00244227353463588,0.0492895204262877
"669","102488","Action_17","Morph_39","JN","Position","Hitobject","HitObject.1","Sonso",-0.174353387144778,0.0430728241563055,0.0559502664298401
