"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"165","100624","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.8754687373539,0.0746003552397869,0.108792184724689
"166","100645p3","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0,0.0746003552397869,0.108792184724689
"167","100631p1","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.45395300959371,0.0237566607460036,0.108792184724689
"168","100644p1","Action_57","Morph_115","DN","Followme","Stompobject","StompObject.1","Sonso",-0.510825623765991,0.0337477797513321,0.0424067495559503
"169","100645p3","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",-0.27443684570176,0.0746003552397869,0.108792184724689
"170","100637p1","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",1.57691472072854,0.0237566607460036,0.108792184724689
"171","100624","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.148420005118273,0.0746003552397869,0.108792184724689
"172","100625","Action_47","Morph_103","DN","Followme","Rockingsit","Rocking.1","Sonso",1.89311196348834,0.00377442273534636,0.00377442273534636
"173","100644p1","Action_17","Morph_39","DN","Followme","Hitobject","HitObject.1","Sonso",-0.328504066972036,0.0430728241563055,0.0559502664298401
"174","100648","Action_34","Morph_65","DN","Followme","Objectshake","ObjectShake.1","Sonso",0.307484699747961,0.0746003552397869,0.108792184724689
"175","100631p1","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",0.751416088683921,0.0237566607460036,0.108792184724689
"176","100637p5","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",0.542324290825362,0.0237566607460036,0.108792184724689
"177","100645p3","Action_60","Morph_127","DN","Followme","Swing","Swing.1","Sonso",-0.328504066972036,0.0428507992895204,0.0475133214920071
"178","100634","Action_34","Morph_66","DN","Followme","Objectshake","ObjectShake.2","Sonso",0.693147180559945,0.0237566607460036,0.108792184724689
"179","100645p2","Action_60","Morph_127","DN","Followme","Swing","Swing.1","Sonso",0.542324290825362,0.0428507992895204,0.0475133214920071
