"","Communication_number","gesture_record_anon","morphs_anon","Signaller","Goal","Lumped_Gs","morph","Social_unit","log","rFq_morph","rFq_action"
"6225","280030a","Action_14","Morph_29","PELEY","Play","Grab","Grab.1","Bossou",-0.75928698306449,0.0037593984962406,0.023093447905478
"6226","280030a","Action_21","Morph_42","PELEY","Play","Hittingobject","HitObject.4","Bossou",-0.355247391947547,0.00590762620837809,0.0118152524167562
"6227","280030a","Action_20","Morph_45","PELEY","Play","Hitother","HitOther.1","Bossou",-0.916290731874155,0.0263157894736842,0.0402792696025779
"6228","280146a","Action_8","Morph_19","FANLE","Play","Dangle","Dangle.1","Bossou",-0.103140758919513,0.0257787325456498,0.0257787325456498
"6229","280146a","Action_8","Morph_19","FANLE","Play","Dangle","Dangle.1","Bossou",-0.823255865906966,0.0257787325456498,0.0257787325456498
"6230","280146a","Action_17","Morph_39","FANLE","Play","Hitobject","HitObject.1","Bossou",-1.14256417619729,0.0327604726100967,0.0408163265306122
"6231","280146a","Action_24","Morph_51","FANLE","Play","Jump","Jump.1","Bossou",0.212689093410351,0.0128893662728249,0.0128893662728249
"6232","280146a","Action_17","Morph_39","FANLE","Play","Hitobject","HitObject.1","Bossou",-0.489390343045926,0.0327604726100967,0.0408163265306122
"6233","280146a","Action_57","Morph_118","FANLE","Play","Stompobject","StompObject.4","Bossou",-1.18417017702976,0.00429645542427497,0.0236305048335124
"6234","280146a","Action_17","Morph_39","FANLE","Play","Hitobject","HitObject.1","Bossou",-1.46533756846034,0.0327604726100967,0.0408163265306122
"6235","280146a","Action_17","Morph_39","FANLE","Play","Hitobject","HitObject.1","Bossou",-0.576253429088446,0.0327604726100967,0.0408163265306122
"6236","280146a","Action_17","Morph_39","FANLE","Play","Hitobject","HitObject.1","Bossou",-0.776528789498996,0.0327604726100967,0.0408163265306122
"6237","280146a","Action_17","Morph_39","FANLE","Play","Hitobject","HitObject.1","Bossou",-1.13943428318836,0.0327604726100967,0.0408163265306122
"6238","280519b","Action_13","Morph_27","JIRE","Stopbehaviour","Fling","Fling.1","Bossou",-0.265268477614881,0.056390977443609,0.0773361976369495
"6239","280492b","Action_28","Morph_56","VUAVUA","Play","Locomotebipedal","LocomoteBipedal.1","Bossou",-0.161343150408763,0.0112781954887218,0.0155746509129968
"6240","280492b","Action_43","Morph_96","VUAVUA","Play","Raise","Raise.1","Bossou",-0.596020469829223,0.0268528464017186,0.0349087003222342
"6241","280497","Action_40","Morph_82","NA_chimp","Sexualattention","Presentgenitalsforwards","PresentGenitals.1","Bossou",-0.455706324544911,0.0354457572502685,0.00859291084854995
"6242","280497","Action_33","Morph_62","NA_chimp","Sexualattention","Objectmove","ObjectMove.2","Bossou",0.541160823562064,0.0123523093447905,0.0349087003222342
"6243","280488a","Action_4","Morph_10","PAMA","Affiliation","Bitekiss","Bite.2","Bossou",0.88335423162789,0.0128893662728249,0.0306122448979592
"6244","280627b","Action_4","Morph_11","YO","Affiliation","Bitekiss","Bite.3","Bossou",-0.403467105445491,0.00214822771213749,0.0306122448979592
"6245","280599","Action_45","Morph_101","JEJE","Giveme","Reach","Reach.2","Bossou",-1.04982212449868,0.027389903329753,0.0719656283566058
"6246","280255b","Action_38","Morph_79","YOLO","Affiliation","Present","Present.5","Bossou",-0.567395975254385,0.0134264232008593,0.0596133190118153
"6247","280224b","Action_43","Morph_96","NA_chimp","Stopbehaviour","Raise","Raise.1","Bossou",-0.562118918153541,0.0268528464017186,0.0349087003222342
"6248","280260","Action_21","Morph_44","FOAF","Sexualattention","Hittingobject","HitObject.6","Bossou",0.231111720963387,0.00161117078410311,0.0118152524167562
"6249","280260","Action_40","Morph_82","FOAF","Sexualattention","Presentgenitalsforwards","PresentGenitals.1","Bossou",0.242946178610389,0.0354457572502685,0.00859291084854995
"6250","280603","Action_42","Morph_92","JIRE","Moveaway","Push","Push.5","Bossou",-0.691149177897272,0.00644468313641246,0.0596133190118153
"6251","280591","Action_40","Morph_82","FOAF","Sexualattention","Presentgenitalsforwards","PresentGenitals.1","Bossou",0.210260925483196,0.0354457572502685,0.00859291084854995
"6252","280652","Action_20","Morph_45","FOTAIU","Stopbehaviour","Hitother","HitOther.1","Bossou",-0.356674943938732,0.0263157894736842,0.0402792696025779
"6253","280440","Action_13","Morph_27","TUA","Moveaway","Fling","Fling.1","Bossou",-0.796287939479459,0.056390977443609,0.0773361976369495
"6254","280169","Action_38","Morph_77","YO","Directattention","Present","Present.3","Bossou",1.2624303738975,0.0166487647690655,0.0596133190118153
"6255","280559","Action_13","Morph_27","JIRE","Moveaway","Fling","Fling.1","Bossou",-0.691149177897272,0.056390977443609,0.0773361976369495
"6256","280554","Action_48","Morph_104","YOLO","Play","Rollover","RollOver.1","Bossou",0.848011891120861,0.00429645542427497,0.00429645542427497
"6257","280187b","Action_45","Morph_100","NINA","Play","Reach","Reach.1","Bossou",0.22314355131421,0.0435016111707841,0.0719656283566058
"6258","280442","Action_38","Morph_78","YO","Directattention","Present","Present.4","Bossou",0.155292884406035,0.00214822771213749,0.0596133190118153
