,ClipName,Record.,Signaller,Recipient,SequenceID,SequenceSize,Gesture,Duration,Category,n,P,logduration
227,"BudongoBF 2013-10-17 Clip 15 12;29;41 SM UP solicit, interrupt by NK ZF ",27,Simon,Upesi,445,1,Big Loud Scratch,4.12,Manual,13,0.044067797,1.415853163
228,"BudongoBF 2013-10-17 Clip 15 12;29;41 SM UP solicit, interrupt by NK ZF ",27,Simon,Upesi,446,2,Stomp object/ground,0.52,Manual,24,0.081355932,-0.653926467
229,BudongoBF 2013-11-02 Clip 23 09;27;32 KT KA solicit,37,Kato,Katia,453,1,Big Loud Scratch,1.92,Manual,13,0.044067797,0.652325186
230,BudongoBF 2013-11-02 Clip 26 09;28;58 MS KA aggress solicit,596,Musa,Katia,457,1,Hit object/ground,1.4,Manual,46,0.155932203,0.336472237
231,BudongoBF 2013-11-02 Clip 33 11;52;10 ZD KA copulate ,601,Zed,Katia,460,1,Raise arm,1.2,Manual,9,0.030508475,0.182321557
232,BudongoBF 2013-11-02 Clip 36 13;07;43 KA FD copulate,604,Fred,Katia,464,2,Present: genitals forwards,4.24,Body,26,0.088135593,1.444563269
233,BudongoBF 2013-11-02 Clip 36 13;07;43 KA FD copulate,604,Fred,Katia,464,2,Rocking: sitting,2.17,Body,14,0.047457627,0.774727168
234,BudongoBF 2013-11-02 Clip 23 09;27;32 KT KA solicit,92,Kato,Katia,465,1,Big Loud Scratch,1.6,Manual,13,0.044067797,0.470003629
235,BudongoBF 2013-11-04 Clip 1 07;42;21 KL FD copulate KC,635,Fred,Kalema,480,2,Present: genitals forwards,0.84,Body,26,0.088135593,-0.174353387
236,BudongoBF 2013-11-04 Clip 1 07;42;21 KL FD copulate KC,635,Fred,Kalema,480,2,Raise arm,0.32,Manual,9,0.030508475,-1.139434283
237,BudongoBF 2013-11-04 Clip 6 07;51;52 SM KL copulate,640,Simon,Kalema,485,2,Present: genitals forwards,0.92,Body,26,0.088135593,-0.083381609
238,BudongoBF 2013-11-04 Clip 6 07;51;52 SM KL copulate,640,Simon,Kalema,485,2,Swing: directed,1.04,Manual,3,0.010169492,0.039220713
239,BudongoBF 2013-11-04 Clip 11 09;55;54 NK KL solicit ZL interrupt,644,Nick,Kalema,486,2,Leaf clipping,3.6,Manual,35,0.118644068,1.280933845
240,BudongoBF 2013-11-04 Clip 11 09;55;54 NK KL solicit ZL interrupt,644,Nick,Kalema,486,2,Stomp object/ground,0.28,Manual,24,0.081355932,-1.272965676
241,BudongoBF 2013-11-04 Clip 11 09;55;54 NK KL solicit ZL interrupt,644,Nick,Kalema,489,2,Leaf clipping,1.6,Manual,35,0.118644068,0.470003629
242,BudongoBF 2013-11-04 Clip 11 09;55;54 NK KL solicit ZL interrupt,644,Nick,Kalema,489,2,Stomp object/ground,0.24,Manual,24,0.081355932,-1.427116356
