,Sequence_ID,PWB,Ndata,Sequence.Size,Size,T,t,Signaller,logduration
178,241,0,1,1,1,1,1,Pascal,0
179,243,0,3,3,3,12.2,4.066666667,Nick,1.402823663
180,245,0,1,1,1,1.1,1.1,Kato,0.09531018
181,246,0,1,1,1,2,2,Kato,0.693147181
182,247,0,2,2,2,6.92,3.46,Kato,1.241268589
183,248,0,1,1,1,2.52,2.52,Kato,0.924258902
184,249,0,3,3,3,4.52,1.506666667,Kato,0.409899705
185,251,0,2,2,2,8.08,4.04,Nick,1.396244692
186,252,0,1,1,1,0.56,0.56,Nick,-0.579818495
187,254,0,1,1,1,8.56,8.56,Nick,2.14710019
188,255,0,1,1,1,3.48,3.48,Hawa,1.247032294
189,257,0,1,1,1,10.52,10.52,Zalu,2.353278207
190,258,0,1,1,1,3.24,3.24,Zalu,1.17557333
191,261,0,2,2,2,5.44,2.72,Hawa,1.00063188
192,263,0,1,1,1,0.96,0.96,Hawa,-0.040821995
193,269,0,5,5,5,28.68,5.736,Kato,1.746762103
194,270,0,1,1,1,1.76,1.76,Kato,0.565313809
195,271,0,1,1,1,2,2,Kato,0.693147181
196,272,0,1,1,1,0.72,0.72,Kato,-0.328504067
197,273,0,1,1,1,1.56,1.56,Kato,0.444685821
198,276,0,1,1,1,0.52,0.52,Pascal,-0.653926467
199,277,0,1,1,1,1.92,1.92,Pascal,0.652325186
200,289,0,1,1,1,1.28,1.28,Kato,0.246860078
201,290,0,1,1,1,0.64,0.64,Kato,-0.446287103
202,295,0,2,2,2,0.92,0.46,Zefa,-0.776528789
203,297,0,2,2,2,5.72,2.86,Kwezi,1.050821625
204,298,0,1,1,1,2.36,2.36,Kwezi,0.858661619
205,299,0,1,1,1,9.6,9.6,Kwezi,2.261763098
206,303,0,1,1,1,13.24,13.24,Zalu,2.583242551
207,309,0,1,1,1,1.16,1.16,Nick,0.148420005
208,310,0,1,1,1,4.88,4.88,Nick,1.58514522
209,311,0,2,2,2,1.64,0.82,Nick,-0.198450939
210,312,0,1,1,1,1.64,1.64,Nick,0.494696242
211,313,0,1,1,1,1.52,1.52,Nick,0.418710335
212,314,0,1,1,1,4.32,4.32,Nick,1.463255402
213,315,0,1,1,1,1.56,1.56,Nick,0.444685821
214,321,0,1,1,1,0.68,0.68,Nick,-0.385662481
215,324,0,1,1,1,2.32,2.32,Hawa,0.841567186
216,325,0,1,1,1,2.28,2.28,Musa,0.824175443
217,326,0,2,2,2,4.04,2.02,Musa,0.703097511
218,327,0,2,2,2,5.96,2.98,Musa,1.091923301
219,329,0,1,1,1,2.12,2.12,Fred,0.751416089
220,330,0,1,1,1,1.48,1.48,Zalu,0.392042088
221,332,1,2,2,2,4.56,2.28,Fred,0.824175443
222,334,0,5,5,5,8.52,1.704,Nick,0.532978428
223,335,0,1,1,1,1.44,1.44,Nick,0.364643114
224,336,0,1,1,1,5,5,Nick,1.609437912
225,337,0,1,1,1,4.12,4.12,Nick,1.415853163
226,338,0,2,2,2,10.72,5.36,Nick,1.678963975
227,339,0,1,1,1,5.08,5.08,Nick,1.625311262
228,340,0,2,2,2,17.4,8.7,Nick,2.163323026
229,341,0,2,2,2,6.6,3.3,Nick,1.193922468
230,343,1,1,1,1,1.04,1.04,Kwezi,0.039220713
231,345,0,1,1,1,0.44,0.44,Musa,-0.820980552
232,346,0,2,2,2,0.36,0.18,Musa,-1.714798428
233,347,0,1,1,1,0.68,0.68,Musa,-0.385662481
234,348,0,1,1,1,0.16,0.16,Musa,-1.832581464
235,349,0,1,1,1,0.8,0.8,Musa,-0.223143551
236,350,0,1,1,1,0.12,0.12,Musa,-2.120263536
237,351,0,1,1,1,1,1,Musa,0
238,352,0,1,1,1,0.12,0.12,Musa,-2.120263536
239,353,0,1,1,1,0.52,0.52,Musa,-0.653926467
240,354,0,1,1,1,0.56,0.56,Musa,-0.579818495
241,357,1,2,2,2,5.84,2.92,Kwezi,1.071583616
242,359,0.666666667,3,3,3,7.72,2.573333333,Kwezi,0.945202075
243,360,1,1,1,1,0.92,0.92,Zalu,-0.083381609
244,361,1,1,1,1,0.6,0.6,Zalu,-0.510825624
245,362,0,2,2,2,0.64,0.32,Nick,-1.139434283
246,363,0,1,1,1,1.04,1.04,Nick,0.039220713
247,364,1,1,1,1,1.56,1.56,Nick,0.444685821
248,365,0,1,1,1,2.8,2.8,Nick,1.029619417
249,366,0,1,1,1,1.32,1.32,Nick,0.277631737
250,367,0,1,1,1,2.8,2.8,Nick,1.029619417
251,369,0,2,2,2,6.84,3.42,Squibs,1.229640551
252,370,1,1,1,1,0.8,0.8,Squibs,-0.223143551
253,371,0,1,1,1,2.92,2.92,Kato,1.071583616
254,372,0,1,1,1,0.72,0.72,Kato,-0.328504067
255,373,0,1,1,1,1.92,1.92,Kato,0.652325186
256,374,0,1,1,1,0.88,0.88,Kato,-0.127833372
257,375,0,1,1,1,1.28,1.28,Kato,0.246860078
258,376,0,1,1,1,0.92,0.92,Kato,-0.083381609
259,377,0,1,1,1,1.12,1.12,Kato,0.113328685
260,378,0,1,1,1,1.32,1.32,Kato,0.277631737
261,379,0,1,1,1,1.2,1.2,Kato,0.182321557
262,384,0,1,1,1,1.08,1.08,Kato,0.076961041
263,387,0,1,1,1,6.04,6.04,Kato,1.798404012
264,388,0,1,1,1,4,4,Kato,1.386294361
265,389,0,1,1,1,0.68,0.68,Kato,-0.385662481
266,390,0,1,1,1,0.64,0.64,Kato,-0.446287103
267,391,0,1,1,1,0.76,0.76,Kato,-0.274436846
268,392,0,1,1,1,0.88,0.88,Kato,-0.127833372
269,393,0,1,1,1,0.68,0.68,Kato,-0.385662481
270,395,0,1,1,1,3.2,3.2,Kato,1.16315081
271,398,0,1,1,1,2.84,2.84,Kato,1.043804052
272,399,0,1,1,1,0.48,0.48,Kato,-0.733969175
273,400,0,3,3,3,11.32,3.773333333,Kato,1.327958784
274,402,0.5,2,2,2,2.16,1.08,Musa,0.076961041
275,404,0,2,2,2,2.56,1.28,Kato,0.246860078
276,405,0,1,1,1,0.32,0.32,Nick,-1.139434283
277,406,0,1,1,1,0.2,0.2,Nick,-1.609437912
278,407,0,2,2,2,1,0.5,Nick,-0.693147181
279,408,0,1,1,1,1.24,1.24,Simon,0.21511138
280,409,1,1,1,1,1,1,Simon,0
281,410,0,1,1,1,1.36,1.36,Zed,0.3074847
282,411,1,1,1,1,1.04,1.04,Zed,0.039220713
283,412,0.5,2,2,2,1.96,0.98,Kwezi,-0.020202707
284,413,0,1,1,1,1.16,1.16,Frank,0.148420005
285,414,0,1,1,1,0.8,0.8,Frank,-0.223143551
286,415,1,1,1,1,1.04,1.04,Frank,0.039220713
287,416,0,2,2,2,5.16,2.58,Frank,0.947789399
288,418,1,1,1,1,1.24,1.24,Zalu,0.21511138
289,419,1,1,1,1,1.44,1.44,Zalu,0.364643114
290,432,0,1,1,1,1.6,1.6,Squibs,0.470003629
291,433,0,1,1,1,2.36,2.36,Squibs,0.858661619
292,434,0,2,2,2,9.36,4.68,Squibs,1.54329811
293,436,0,1,1,1,1.56,1.56,Kato,0.444685821
294,437,0,1,1,1,1.44,1.44,Kato,0.364643114
295,438,0,1,1,1,1.88,1.88,Kato,0.631271777
296,440,0,1,1,1,7.08,7.08,Kato,1.957273908
297,441,0,1,1,1,7.48,7.48,Kato,2.012232792
298,442,0,1,1,1,1.84,1.84,Kato,0.609765572
299,443,0,1,1,1,1.2,1.2,Kato,0.182321557
300,444,0,2,2,2,12.88,6.44,Kato,1.86252854
301,445,0,1,1,1,4.12,4.12,Simon,1.415853163
302,446,0,2,2,2,1.64,0.82,Simon,-0.198450939
303,453,0,1,1,1,1.92,1.92,Kato,0.652325186
304,454,0,1,1,1,4.88,4.88,Kato,1.58514522
305,455,0,1,1,1,1.36,1.36,Kato,0.3074847
306,457,0,1,1,1,1.4,1.4,Musa,0.336472237
307,460,0,1,1,1,1.2,1.2,Zed,0.182321557
308,464,1,2,2,2,6.41,3.205,Fred,1.16471209
309,465,0,1,1,1,1.6,1.6,Kato,0.470003629
310,466,0,1,1,1,2,2,Kato,0.693147181
311,470,0,1,1,1,0.36,0.36,Nick,-1.021651248
312,480,0.5,2,2,2,1.16,0.58,Fred,-0.544727175
313,485,0.5,2,2,2,1.96,0.98,Simon,-0.020202707
314,486,0,2,2,2,3.88,1.94,Nick,0.662687973
315,489,0,2,2,2,1.84,0.92,Nick,-0.083381609
316,491,0,1,1,1,0.68,0.68,Musa,-0.385662481
317,492,0,1,1,1,0.68,0.68,Musa,-0.385662481
318,493,0.5,2,2,2,1.32,0.66,Musa,-0.415515444
319,494,0,1,1,1,8.4,8.4,Kato,2.128231706
320,495,0.5,2,2,2,2.48,1.24,Kato,0.21511138
321,496,0,1,1,1,2.2,2.2,Kato,0.78845736
322,499,0,1,1,1,1.12,1.12,Kato,0.113328685
323,500,0,2,2,2,3.4,1.7,Kato,0.530628251
324,502,0,1,1,1,2.2,2.2,Squibs,0.78845736
325,504,0,1,1,1,2.36,2.36,Simon,0.858661619
326,506,0,1,1,1,3.28,3.28,Kato,1.187843422
327,512,0,1,1,1,0.48,0.48,Pascal,-0.733969175
328,513,1,1,1,1,1.12,1.12,Pascal,0.113328685
329,520,0,1,1,1,4.88,4.88,Kato,1.58514522
330,521,0,1,1,1,1.04,1.04,Kato,0.039220713
331,522,0,1,1,1,0.92,0.92,Kato,-0.083381609
332,523,0,3,3,3,1.92,0.64,Kato,-0.446287103
333,525,1,1,1,1,1.68,1.68,Frank,0.518793793
334,527,0.5,2,2,2,2.08,1.04,Fred,0.039220713
335,528,0.5,2,2,2,4.96,2.48,Fred,0.90825856
336,529,0,1,1,1,6.44,6.44,Zed,1.86252854
337,530,1,1,1,1,0.56,0.56,Zed,-0.579818495
338,531,0.5,2,2,2,1.6,0.8,Zig,-0.223143551
339,535,0.5,2,2,2,3.12,1.56,Frank,0.444685821
340,536,0.5,2,2,2,3.16,1.58,Frank,0.457424847
341,537,0,1,1,1,2.56,2.56,Frank,0.940007258
342,538,0.5,2,2,2,3,1.5,Frank,0.405465108
343,539,1,1,1,1,0.96,0.96,Frank,-0.040821995
344,540,0,1,1,1,0.44,0.44,Kasigwa,-0.820980552
345,548,0.5,2,2,2,3.48,1.74,Fred,0.553885113
346,549,0,1,1,1,1.36,1.36,Fred,0.3074847
347,550,0.5,2,2,2,1.6,0.8,Fred,-0.223143551
348,551,1,2,2,2,5.28,2.64,Fred,0.970778917
349,552,0,2,2,2,0.6,0.3,Kasigwa,-1.203972804
350,553,0,3,3,3,1.08,0.36,Kasigwa,-1.021651248
351,554,0.666666667,3,3,3,2.4,0.8,Kasigwa,-0.223143551
352,557,1,1,1,1,1.84,1.84,Pascal,0.609765572
353,558,0,2,2,2,4.36,2.18,Kasigwa,0.779324877
354,561,0.666666667,3,3,3,3.16,1.053333333,Frank,0.051959739
355,562,0,1,1,1,1.44,1.44,Frank,0.364643114
356,563,0,1,1,1,0.8,0.8,Frank,-0.223143551
357,564,0,1,1,1,1.56,1.56,Duane,0.444685821
358,565,0,1,1,1,0.36,0.36,Nick,-1.021651248
359,566,0,1,1,1,0.64,0.64,Nick,-0.446287103
